image_id,gt_boxes,pred_boxes,any_true_positive
55d87ed7a.jpg,13,0,0
17eeca349.jpg,1,1,1
ab3fed191.jpg,1,3,1
fdabe52ee.jpg,4,6,1
7c27b239d.jpg,1,1,1
624e942f6.jpg,3,3,1
8c732ade1.jpg,6,6,1
5a6a8196b.jpg,2,1,1
0c2522533.jpg,1,1,1
9e39834da.jpg,8,9,1
70be92f18.jpg,1,4,0
3124b1e5c.jpg,3,3,1
fc113cb7e.jpg,1,1,1
5c876d114.jpg,3,3,1
9b2801e98.jpg,3,3,1
8f31ce4d8.jpg,2,2,1
2511b27f5.jpg,1,1,0
cd835f121.jpg,1,2,1
8a88f573c.jpg,7,3,1
8445de2d9.jpg,1,1,1
d806c4bd6.jpg,1,2,1
60fb3a793.jpg,2,1,0
cc69501eb.jpg,7,5,1
db0547371.jpg,3,3,1
00f6e702c.jpg,5,1,1
503d78c6f.jpg,3,1,0
a3148f47c.jpg,2,4,1
683ad3cc1.jpg,7,5,1
101bc8aa5.jpg,8,6,1
9c33cdef5.jpg,1,2,1
a732b1b72.jpg,8,10,1
171c64a72.jpg,5,3,1
711d59ca6.jpg,6,3,1
6dfd81e89.jpg,2,1,1
ae9976755.jpg,2,3,1
5feafe9c5.jpg,5,2,1
1b4642fd5.jpg,1,2,1
d67f4b258.jpg,3,4,1
c3429572b.jpg,2,3,1
6343860bc.jpg,6,4,1
a5f996baa.jpg,5,5,1
a8fcfff62.jpg,5,4,1
7cb5bd6f1.jpg,5,2,1
9c4c38dab.jpg,2,4,1
9bba9fd75.jpg,3,2,1
bdd1c7fa8.jpg,2,2,1
a369c5c1f.jpg,2,1,1
1f7e9363d.jpg,6,5,1
86756300d.jpg,1,3,1
627b98bc7.jpg,8,2,1
faa1000af.jpg,2,2,1
1d7f89efa.jpg,12,2,1
87ae117e9.jpg,2,1,1
3afb8f1bc.jpg,2,3,1
594303084.jpg,2,2,0
0f4a022fd.jpg,1,1,1
45b099b06.jpg,1,1,1
79d28bbe8.jpg,2,2,1
ac0682b30.jpg,7,10,1
14c9a9062.jpg,1,1,1
441866b3d.jpg,1,1,1
71e55c4e5.jpg,2,3,1
c0ceecd96.jpg,5,3,1
a8767436f.jpg,1,1,1
e3c8b3a70.jpg,7,5,1
55c30f544.jpg,3,3,1
cbc2172be.jpg,1,2,1
8cc65d1f7.jpg,1,0,0
93b0d8e2f.jpg,5,4,1
193884988.jpg,4,1,1
20905c068.jpg,5,5,1
b2854eaff.jpg,4,5,1
431234941.jpg,7,9,1
c2eb19445.jpg,5,2,1
5350e17c2.jpg,2,2,1
